temperature_c,rmax_kohm,rcent_kohm,rmin_kohm
242,0.0725,0.0683,0.0643
243,0.0716,0.0674,0.0635
244,0.0706,0.0665,0.0626
245,0.0697,0.0656,0.0618
246,0.0688,0.0648,0.0610
247,0.0679,0.0640,0.0602
248,0.0671,0.0631,0.0594
249,0.0662,0.0623,0.0587
250,0.0654,0.0615,0.0579
251,0.0646,0.0608,0.0572
252,0.0638,0.0600,0.0564
253,0.0630,0.0592,0.0557
254,0.0622,0.0585,0.0550
255,0.0614,0.0578,0.0543
256,0.0607,0.0571,0.0537
257,0.0600,0.0564,0.0530
258,0.0592,0.0557,0.0523
259,0.0585,0.0550,0.0517
260,0.0578,0.0543,0.0511
261,0.0571,0.0537,0.0504
262,0.0565,0.0530,0.0498
263,0.0558,0.0524,0.0492
264,0.0551,0.0518,0.0486
265,0.0545,0.0512,0.0481
266,0.0539,0.0506,0.0475
267,0.0532,0.0500,0.0469
268,0.0526,0.0494,0.0464
269,0.0520,0.0488,0.0458
270,0.0514,0.0483,0.0453
271,0.0508,0.0477,0.0448
272,0.0503,0.0472,0.0443
273,0.0497,0.0466,0.0438
274,0.0491,0.0461,0.0433
275,0.0486,0.0456,0.0428
276,0.0481,0.0451,0.0423
277,0.0475,0.0446,0.0418
278,0.0470,0.0441,0.0413
279,0.0465,0.0436,0.0409
280,0.0460,0.0431,0.0404
281,0.0455,0.0427,0.0400
282,0.0450,0.0422,0.0395
283,0.0445,0.0417,0.0391
284,0.0441,0.0413,0.0387
285,0.0436,0.0408,0.0383
286,0.0431,0.0404,0.0379
287,0.0427,0.0400,0.0375
288,0.0422,0.0396,0.0371
289,0.0418,0.0392,0.0367
290,0.0414,0.0387,0.0363
291,0.0409,0.0383,0.0359
292,0.0405,0.0379,0.0355
293,0.0401,0.0376,0.0352
294,0.0397,0.0372,0.0348
295,0.0393,0.0368,0.0344
296,0.0389,0.0364,0.0341
297,0.0385,0.0361,0.0337
298,0.0382,0.0357,0.0334
299,0.0378,0.0353,0.0331
300,0.0374,0.0350,0.0327
